cer,wer,bwer,line_count_match,gt_line_count,transcription_line_count,document_id,method
0.03867102396514161,0.22012578616352202,0.2169811320754717,True,34,34,7474188,gemini
0.03460410557184751,0.15901060070671377,0.15901060070671377,True,31,31,7474189,gemini
0.0808259587020649,0.3448275862068966,0.3413793103448276,False,31,1,7474194,gemini
0.038397328881469114,0.18769230769230769,0.18461538461538463,True,33,33,7474190,gemini
0.08396946564885496,0.35,0.35,False,4,8,7474184,gemini
0.036684782608695655,0.1865079365079365,0.17857142857142858,False,28,30,7474185,gemini
0.07399463806970509,0.2485207100591716,0.23964497041420119,False,33,32,7474191,gemini
0.03487738419618529,0.17981072555205047,0.17350157728706625,True,33,33,7474187,gemini
0.03687150837988827,0.15723270440251572,0.1509433962264151,True,32,32,7474193,gemini
0.056660638939119955,0.30604982206405695,0.302491103202847,True,33,33,7474186,gemini
