cer,wer,bwer,line_count_match,gt_line_count,transcription_line_count,document_id,method
0.02321083172147002,0.015706806282722512,0.015706806282722512,False,23,22,071106002,mistral
0.07243963363863447,0.11442786069651742,0.10945273631840796,False,24,25,071108002,mistral
0.01756587202007528,0.07692307692307693,0.07692307692307693,False,16,14,071112003,mistral
0.4255129348795718,0.5380710659898477,0.1319796954314721,False,23,21,071157001,mistral
0.2993960310612597,0.3557692307692308,0.3076923076923077,False,27,33,071002003,mistral
0.23897058823529413,0.31868131868131866,0.07692307692307693,True,14,14,071133003,mistral
0.036231884057971016,0.08,0.08,False,6,5,071042002,mistral
0.10648148148148148,0.19444444444444445,0.16666666666666666,False,7,8,071054002,mistral
0.5207900207900208,0.6451612903225806,0.16129032258064516,False,32,19,071003003,mistral
0.032388663967611336,0.11494252873563218,0.11494252873563218,False,23,13,071111002,mistral
