cer,wer,bwer,line_count_match,gt_line_count,transcription_line_count,document_id,method
0.2282135076252723,0.4842767295597484,0.4245283018867924,False,34,33,7474188,openai
0.1970674486803519,0.5477031802120141,0.5159010600706714,True,31,31,7474189,openai
0.2300884955752212,0.5551724137931034,0.493103448275862,True,31,31,7474194,openai
1.2053422370617697,2.0,1.9353846153846157,False,33,13,7474190,openai
0.1221374045801526,0.3,0.3,True,4,4,7474184,openai
0.2622282608695652,0.5912698412698413,0.5238095238095238,True,28,28,7474185,openai
0.246112600536193,0.5266272189349113,0.4349112426035503,True,33,33,7474191,openai
0.215258855585831,0.5205047318611987,0.4605678233438486,True,33,33,7474187,openai
15.978770949720673,20.39308176100629,20.33018867924528,False,32,16,7474193,openai
0.2784810126582278,0.5907473309608541,0.5266903914590747,False,33,32,7474186,openai
0.2265795206971677,0.4685534591194968,0.3962264150943396,False,34,33,7474188,openai
0.1788856304985337,0.4840989399293286,0.4416961130742049,True,31,31,7474189,openai
0.2454277286135693,0.5620689655172414,0.506896551724138,False,31,30,7474194,openai
0.2253756260434056,0.4953846153846153,0.4123076923076923,True,33,33,7474190,openai
0.1221374045801526,0.35,0.35,True,4,4,7474184,openai
0.2771739130434782,0.5873015873015873,0.5079365079365079,True,28,28,7474185,openai
0.2493297587131367,0.5502958579881657,0.4644970414201183,True,33,33,7474191,openai
0.2114441416893733,0.4858044164037854,0.416403785488959,True,33,33,7474187,openai
0.9547486033519552,2.110062893081761,2.0660377358490565,False,32,15,7474193,openai
0.29475587703435807,0.604982206405694,0.5516014234875445,False,33,31,7474186,openai
