cer,wer,bwer,line_count_match,gt_line_count,transcription_line_count,document_id,method
0.1450676982591876,0.1570680628272251,0.1465968586387434,False,23,26,71106002,gemini
0.0732722731057452,0.1194029850746268,0.1044776119402985,False,24,26,71108002,gemini
0.0213299874529485,0.0979020979020979,0.0909090909090909,True,16,16,71112003,gemini
0.4255129348795718,0.5025380710659898,0.1269035532994923,False,23,25,71157001,gemini
0.081967213114754,0.1490384615384615,0.1009615384615384,True,27,27,71002003,gemini
0.2371323529411764,0.3076923076923077,0.0549450549450549,True,14,14,71133003,gemini
0.1159420289855072,0.12,0.04,False,6,7,71042002,gemini
0.0277777777777777,0.1111111111111111,0.0555555555555555,False,7,8,71054002,gemini
0.525987525987526,0.6612903225806451,0.1451612903225806,False,32,29,71003003,gemini
0.2823886639676113,0.3045977011494253,0.2758620689655172,False,23,30,71111002,gemini
0.1450676982591876,0.1570680628272251,0.1465968586387434,False,23,26,71106002,gemini
0.1282264779350541,0.1592039800995024,0.1442786069651741,False,24,27,71108002,gemini
0.0250941028858218,0.1118881118881118,0.1048951048951049,True,16,16,71112003,gemini
0.4371097234611953,0.5380710659898477,0.1116751269035533,True,23,23,71157001,gemini
0.084555651423641,0.1586538461538461,0.110576923076923,True,27,27,71002003,gemini
0.2371323529411764,0.3076923076923077,0.0659340659340659,False,14,15,71133003,gemini
0.036231884057971,0.12,0.04,True,6,6,71042002,gemini
0.0462962962962962,0.2222222222222222,0.1666666666666666,True,7,7,71054002,gemini
0.5187110187110187,0.6559139784946236,0.1666666666666666,False,32,29,71003003,gemini
0.1255060728744939,0.1781609195402299,0.1551724137931034,False,23,26,71111002,gemini
0.0106382978723404,0.0523560209424083,0.0418848167539267,True,23,23,71106002,gemini
0.0199833472106577,0.0796019900497512,0.0597014925373134,False,24,23,71108002,gemini
0.0301129234629861,0.1258741258741259,0.1188811188811188,False,16,15,71112003,gemini
0.4362176628010705,0.5482233502538071,0.1269035532994923,False,23,21,71157001,gemini
0.0949094046591889,0.1826923076923076,0.1346153846153846,False,27,26,71002003,gemini
0.244485294117647,0.3296703296703296,0.0659340659340659,False,14,13,71133003,gemini
0.0217391304347826,0.08,0.04,False,6,5,71042002,gemini
0.0324074074074074,0.1388888888888889,0.0833333333333333,True,7,7,71054002,gemini
0.5135135135135135,0.6559139784946236,0.1827956989247312,False,32,25,71003003,gemini
0.0253036437246963,0.0689655172413793,0.0517241379310344,True,23,23,71111002,gemini
0.0087040618955512,0.0418848167539267,0.031413612565445,True,23,23,71106002,gemini
0.019150707743547,0.0746268656716417,0.0547263681592039,False,24,23,71108002,gemini
0.0301129234629861,0.1258741258741259,0.1188811188811188,False,16,15,71112003,gemini
0.4362176628010705,0.5482233502538071,0.1269035532994923,False,23,21,71157001,gemini
0.0974978429680759,0.1778846153846154,0.1298076923076923,False,27,26,71002003,gemini
0.244485294117647,0.3296703296703296,0.0659340659340659,False,14,13,71133003,gemini
0.0217391304347826,0.08,0.04,False,6,5,71042002,gemini
0.0324074074074074,0.1388888888888889,0.0833333333333333,True,7,7,71054002,gemini
0.5176715176715176,0.6559139784946236,0.1827956989247312,False,32,24,71003003,gemini
0.0232793522267206,0.0689655172413793,0.0517241379310344,False,23,22,71111002,gemini
0.0077369439071566,0.0366492146596858,0.0261780104712041,True,23,23,71106002,gemini
0.019150707743547,0.0746268656716417,0.0597014925373134,False,24,22,71108002,gemini
0.0301129234629861,0.1258741258741259,0.1188811188811188,False,16,15,71112003,gemini
0.4210526315789473,0.5279187817258884,0.1218274111675127,False,23,21,71157001,gemini
0.090595340811044,0.1826923076923076,0.1298076923076923,False,27,26,71002003,gemini
0.2481617647058823,0.3296703296703296,0.0659340659340659,False,14,13,71133003,gemini
0.0217391304347826,0.08,0.04,False,6,5,71042002,gemini
0.0324074074074074,0.1388888888888889,0.0833333333333333,True,7,7,71054002,gemini
0.5239085239085239,0.6612903225806451,0.1666666666666666,False,32,27,71003003,gemini
0.025303643724696356,0.07471264367816093,0.05747126436781609,False,23,22,071111002,gemini
