cer,wer,bwer,line_count_match,gt_line_count,transcription_line_count,document_id,method
0.0175609756097561,0.06878306878306878,0.06878306878306878,True,21,21,071106002,openai
0.022613065326633167,0.10050251256281408,0.10050251256281408,True,22,22,071108002,openai
0.04230769230769231,0.1223021582733813,0.1223021582733813,True,15,15,071112003,openai
0.03985828166519043,0.14358974358974358,0.14358974358974358,True,26,26,071157001,openai
0.05258545135845749,0.15763546798029557,0.15270935960591134,True,27,27,071002003,openai
0.029850746268656716,0.12222222222222222,0.12222222222222222,True,12,12,071133003,openai
0.007518796992481203,0.043478260869565216,0.043478260869565216,True,4,4,071042002,openai
0.03225806451612903,0.1388888888888889,0.1388888888888889,True,7,7,071054002,openai
0.12790697674418605,0.327683615819209,0.2768361581920904,True,28,28,071003003,openai
0.033707865168539325,0.15204678362573099,0.15204678362573099,True,21,21,071111002,openai
