cer,wer,bwer,line_count_match,gt_line_count,transcription_line_count,document_id,method
0.2446808510638297,0.2827225130890052,0.2617801047120419,False,23,26,71106002,mistral
0.0791007493755204,0.1840796019900497,0.1791044776119403,False,24,23,71108002,mistral
0.1932245922208281,0.2867132867132867,0.2727272727272727,False,16,18,71112003,mistral
0.504014272970562,0.6395939086294417,0.2538071065989847,False,23,22,71157001,mistral
0.3261432269197584,0.4567307692307692,0.3894230769230769,False,27,31,71002003,mistral
0.3400735294117647,0.5274725274725275,0.3186813186813186,False,14,13,71133003,mistral
0.1231884057971014,0.16,0.12,False,6,7,71042002,mistral
0.2453703703703703,0.4444444444444444,0.4166666666666667,False,7,8,71054002,mistral
0.5987525987525988,0.7795698924731183,0.4623655913978494,False,32,38,71003003,mistral
0.395748987854251,0.46551724137931033,0.4367816091954023,False,23,31,071111002,mistral
