cer,wer,bwer,line_count_match,gt_line_count,transcription_line_count,pred_line_count,transkribus_line_count,segmentation_accuracy,bow_error_rate,document_id,method
0.0457516339869281,0.1981132075471698,0.1981132075471698,True,34,34,34,34,1.0,0.3236074270557029,7474188,gemini
0.0434017595307917,0.2084805653710247,0.2084805653710247,True,31,31,31,31,1.0,0.343108504398827,7474189,gemini
0.0365781710914454,0.2,0.1896551724137931,True,31,31,31,31,1.0,0.3168604651162791,7474194,gemini
0.0422927100723427,0.1969230769230769,0.1907692307692307,True,33,33,33,33,1.0,0.3078947368421052,7474190,gemini
0.0534351145038167,0.3,0.3,False,4,4,10,10,0.4,0.4814814814814815,7474184,gemini
0.0394021739130434,0.1984126984126984,0.1944444444444444,False,28,28,29,29,0.9655172413793104,0.3255813953488372,7474185,gemini
0.0504021447721179,0.2218934911242603,0.2189349112426035,True,33,33,33,33,1.0,0.3567961165048543,7474191,gemini
0.0435967302452316,0.2113564668769716,0.2050473186119873,True,33,33,33,33,1.0,0.3333333333333333,7474187,gemini
0.0541899441340782,0.2547169811320754,0.2452830188679245,True,32,32,32,32,1.0,0.3877551020408163,7474193,gemini
0.06268836648583484,0.2775800711743772,0.2704626334519573,False,33,33,34,34,0.9705882352941176,0.41761363636363635,7474186,gemini
