cer,wer,bwer,line_count_match,gt_line_count,transcription_line_count,pred_line_count,transkribus_line_count,segmentation_accuracy,bow_error_rate,document_id,method
0.0974945533769063,0.4150943396226415,0.3962264150943396,True,34,34,34,34,1.0,0.5636363636363637,7474188,mistral
0.1612903225806451,0.469964664310954,0.4664310954063604,True,31,31,31,31,1.0,0.5783132530120482,7474189,mistral
0.1203539823008849,0.4586206896551724,0.4344827586206896,True,31,31,31,31,1.0,0.5817307692307692,7474194,mistral
0.10740122426266,0.4276923076923077,0.4061538461538461,True,33,33,33,33,1.0,0.5739514348785872,7474190,mistral
0.099236641221374,0.55,0.55,False,4,4,10,10,0.4,0.7962962962962963,7474184,mistral
0.2357336956521739,0.5,0.4761904761904761,False,28,28,29,29,0.9655172413793104,0.5469168900804289,7474185,mistral
0.1383378016085791,0.4704142011834319,0.4526627218934911,True,33,33,33,33,1.0,0.5824847250509164,7474191,mistral
0.0866485013623978,0.3974763406940063,0.3817034700315457,True,33,33,33,33,1.0,0.54337899543379,7474187,mistral
0.1122905027932961,0.4654088050314465,0.4528301886792453,True,32,32,32,32,1.0,0.5952380952380952,7474193,mistral
0.10729355033152502,0.4555160142348754,0.4306049822064057,False,33,33,34,34,0.9705882352941176,0.600997506234414,7474186,mistral
