cer,wer,bwer,line_count_match,gt_line_count,transcription_line_count,document_id,method
0.3756150902132312,0.8081761006289309,0.710691823899371,False,33,1,7474507,openai
0.5205030071077091,0.8584905660377359,0.7735849056603774,False,33,1,7474507,openai
0.4700193423597679,0.4921465968586387,0.4869109947643979,False,23,40,071_106_002,openai
0.2665441176470588,0.3406593406593406,0.0989010989010989,False,14,11,071_133_003,openai
0.5289855072463768,0.56,0.52,False,6,9,071_042_002,openai
0.6143451143451143,0.7526881720430108,0.521505376344086,False,32,48,071_003_003,openai
0.6194995685936152,0.6778846153846154,0.6201923076923077,False,27,48,071_002_003,openai
0.459616985845129,0.4527363184079602,0.4527363184079602,False,24,40,071_108_002,openai
0.4827935222672064,0.4942528735632184,0.4827586206896552,False,23,40,071_111_002,openai
0.56021409455843,0.6802030456852792,0.5482233502538071,False,23,42,071_157_001,openai
0.3472222222222222,0.3888888888888889,0.3611111111111111,False,7,11,071_054_002,openai
0.041405269761606,0.1538461538461538,0.1468531468531468,True,16,16,071_112_003,openai
0.2420701168614357,0.5292307692307693,0.4646153846153846,True,33,33,7474190,openai
0.266304347826087,0.5833333333333334,0.5476190476190477,False,28,27,7474185,openai
0.2630718954248366,0.6194968553459119,0.5566037735849056,False,34,33,7474188,openai
0.2703812316715542,0.6537102473498233,0.607773851590106,True,31,31,7474189,openai
0.2643067846607669,0.6137931034482759,0.5620689655172414,True,31,31,7474194,openai
0.0534351145038167,0.3,0.3,True,4,4,7474184,openai
0.2563002680965147,0.5887573964497042,0.514792899408284,True,33,33,7474191,openai
0.2332425068119891,0.5772870662460567,0.4794952681388013,True,33,33,7474187,openai
0.2748603351955307,0.6352201257861635,0.550314465408805,False,32,31,7474193,openai
0.3134418324291742,0.6690391459074733,0.6156583629893239,False,33,32,7474186,openai
