cer,wer,bwer,line_count_match,gt_line_count,transcription_line_count,pred_line_count,transkribus_line_count,segmentation_accuracy,bow_error_rate,document_id,method
0.0942265795206971,0.389937106918239,0.3867924528301887,True,34,34,34,34,1.0,0.5496535796766744,7474188,openai
0.0950146627565982,0.3639575971731448,0.3321554770318021,True,31,31,31,31,1.0,0.4919354838709677,7474189,openai
0.1008849557522123,0.3482758620689655,0.3413793103448276,True,31,31,31,31,1.0,0.4986876640419947,7474194,openai
0.0762381747356705,0.3169230769230769,0.3046153846153846,True,33,33,33,33,1.0,0.4541062801932367,7474190,openai
0.2824427480916031,0.7,0.7,False,4,4,10,10,0.4,0.725,7474184,openai
0.092391304347826,0.376984126984127,0.365079365079365,False,28,28,29,29,0.9655172413793104,0.528023598820059,7474185,openai
0.124396782841823,0.3875739644970414,0.3727810650887574,True,33,33,33,33,1.0,0.5246636771300448,7474191,openai
0.0773841961852861,0.3375394321766561,0.3375394321766561,True,33,33,33,33,1.0,0.4890510948905109,7474187,openai
0.0905027932960893,0.3647798742138364,0.3553459119496855,True,32,32,32,32,1.0,0.5176470588235293,7474193,openai
0.1193490054249547,0.4341637010676156,0.4306049822064057,False,33,33,34,34,0.9705882352941176,0.5876288659793815,7474186,openai
0.0876906318082788,0.3710691823899371,0.3679245283018867,True,34,34,34,34,1.0,0.5292740046838407,7474188,openai
0.081524926686217,0.3356890459363957,0.3215547703180212,True,31,31,31,31,1.0,0.4782608695652174,7474189,openai
0.0938053097345132,0.3137931034482759,0.3068965517241379,True,31,31,31,31,1.0,0.4538043478260869,7474194,openai
0.0767946577629382,0.3015384615384615,0.2923076923076923,True,33,33,33,33,1.0,0.4390243902439024,7474190,openai
0.0534351145038167,0.4,0.4,False,4,4,10,10,0.4,0.5882352941176471,7474184,openai
0.0828804347826086,0.3492063492063492,0.3373015873015873,False,28,28,29,29,0.9655172413793104,0.5,7474185,openai
0.0895442359249329,0.3402366863905325,0.3224852071005917,True,33,33,33,33,1.0,0.4783599088838268,7474191,openai
0.0795640326975476,0.3438485804416404,0.3406940063091482,True,33,33,33,33,1.0,0.4927184466019417,7474187,openai
0.0798882681564245,0.3238993710691824,0.3144654088050314,True,32,32,32,32,1.0,0.4682926829268292,7474193,openai
0.1145268233875828,0.4163701067615658,0.4128113879003559,False,33,33,34,34,0.9705882352941176,0.5714285714285714,7474186,openai
0.088235294117647,0.3679245283018867,0.3647798742138364,True,34,34,34,34,1.0,0.5235849056603774,7474188,openai
0.07683284457478,0.3180212014134275,0.303886925795053,True,31,31,31,31,1.0,0.4602739726027397,7474189,openai
0.0902654867256637,0.3103448275862069,0.3034482758620689,True,31,31,31,31,1.0,0.4525745257452574,7474194,openai
0.0773511407902059,0.3107692307692307,0.3015384615384615,True,33,33,33,33,1.0,0.4516908212560386,7474190,openai
0.2519083969465648,0.55,0.55,False,4,4,10,10,0.4,0.6216216216216216,7474184,openai
0.0842391304347826,0.3531746031746032,0.3412698412698413,False,28,28,29,29,0.9655172413793104,0.5029940119760479,7474185,openai
0.0895442359249329,0.3343195266272189,0.3195266272189349,True,33,33,33,33,1.0,0.4736842105263158,7474191,openai
0.0795640326975476,0.3438485804416404,0.3438485804416404,True,33,33,33,33,1.0,0.4951456310679611,7474187,openai
0.0754189944134078,0.3144654088050314,0.3018867924528302,True,32,32,32,32,1.0,0.4545454545454546,7474193,openai
0.1181434599156118,0.4056939501779359,0.4056939501779359,False,33,33,34,34,0.9705882352941176,0.5639686684073106,7474186,openai
0.088235294117647,0.3679245283018867,0.3647798742138364,True,34,34,34,34,1.0,0.5258215962441315,7474188,openai
0.0739002932551319,0.3109540636042402,0.2968197879858657,True,31,31,31,31,1.0,0.4502762430939226,7474189,openai
0.0943952802359882,0.3172413793103448,0.3103448275862069,True,31,31,31,31,1.0,0.4594594594594594,7474194,openai
0.0795770728992765,0.3138461538461538,0.2984615384615384,True,33,33,33,33,1.0,0.4506024096385542,7474190,openai
0.2519083969465648,0.55,0.55,False,4,4,10,10,0.4,0.6216216216216216,7474184,openai
0.0896739130434782,0.3611111111111111,0.3492063492063492,False,28,28,29,29,0.9655172413793104,0.5119047619047619,7474185,openai
0.0906166219839142,0.3372781065088757,0.3195266272189349,True,33,33,33,33,1.0,0.4772727272727273,7474191,openai
0.0768392370572207,0.3280757097791798,0.3280757097791798,True,33,33,33,33,1.0,0.4779411764705882,7474187,openai
0.088235294117647,0.3679245283018867,0.3616352201257861,True,34,34,34,34,1.0,0.5234741784037559,7474188,openai
0.0791788856304985,0.3250883392226148,0.3074204946996466,True,31,31,31,31,1.0,0.4615384615384615,7474189,openai
0.0820058997050147,0.293103448275862,0.2896551724137931,True,31,31,31,31,1.0,0.4386920980926431,7474194,openai
0.0915032679738562,0.3773584905660377,0.3710691823899371,True,34,34,34,34,1.0,0.5327102803738317,7474188,openai
0.0809384164222873,0.3250883392226148,0.3074204946996466,True,31,31,31,31,1.0,0.4615384615384615,7474189,openai
0.0825958702064896,0.3034482758620689,0.3034482758620689,True,31,31,31,31,1.0,0.4555256064690026,7474194,openai
0.0806900389538119,0.3230769230769231,0.3076923076923077,True,33,33,33,33,1.0,0.4591346153846154,7474190,openai
0.0534351145038167,0.4,0.4,False,4,4,10,10,0.4,0.5172413793103448,7474184,openai
0.093070652173913,0.3611111111111111,0.3492063492063492,False,28,28,29,29,0.9655172413793104,0.5075075075075075,7474185,openai
0.0879356568364611,0.3343195266272189,0.3165680473372781,True,33,33,33,33,1.0,0.4701834862385321,7474191,openai
