cer,wer,bwer,line_count_match,gt_line_count,transcription_line_count,pred_line_count,transkribus_line_count,segmentation_accuracy,bow_error_rate,document_id,method
0.08877995642701525,0.36792452830188677,0.36477987421383645,True,34,34,34,34,1.0,0.5269320843091334,7474188,openai
0.07859237536656892,0.3215547703180212,0.3003533568904594,True,31,31,31,31,1.0,0.4545454545454546,7474189,openai
0.07492625368731563,0.2896551724137931,0.2896551724137931,True,31,31,31,31,1.0,0.4402173913043478,7474194,openai
0.08736783528102393,0.3384615384615385,0.3230769230769231,True,33,33,33,33,1.0,0.4811320754716981,7474190,openai
0.05343511450381679,0.4,0.4,False,4,4,10,10,0.4,0.5,7474184,openai
0.08559782608695653,0.35714285714285715,0.3412698412698413,False,28,28,29,29,0.9655172413793104,0.5029940119760479,7474185,openai
0.08686327077747989,0.33136094674556216,0.31952662721893493,True,33,33,33,33,1.0,0.47247706422018354,7474191,openai
0.07465940054495913,0.334384858044164,0.3280757097791798,True,33,33,33,33,1.0,0.4817518248175182,7474187,openai
0.08100558659217877,0.3333333333333333,0.31761006289308175,True,32,32,32,32,1.0,0.4771084337349397,7474193,openai
0.10488245931283906,0.398576512455516,0.39501779359430605,False,33,33,34,34,0.9705882352941176,0.5514511873350924,7474186,openai
