cer,wer,bow_error_rate,line_count_match,gt_line_count,transcription_line_count,document_id,method
0.08686327077747989,0.3816568047337278,0.5311827956989248,True,33,33,7474191,transkribus
0.07138643067846608,0.3793103448275862,0.5340050377833754,True,31,31,7474194,transkribus
0.06392961876832845,0.3321554770318021,0.48806366047745353,True,31,31,7474189,transkribus
0.0916030534351145,0.6,0.625,False,4,10,7474184,transkribus
0.07629427792915532,0.35646687697160884,0.5070093457943925,True,33,33,7474187,transkribus
0.08180300500834725,0.3630769230769231,0.5079365079365079,True,33,33,7474190,transkribus
0.08061002178649238,0.36477987421383645,0.5104408352668213,True,34,34,7474188,transkribus
0.07744565217391304,0.35714285714285715,0.5117647058823529,False,28,29,7474185,transkribus
0.0888268156424581,0.4056603773584906,0.5585585585585586,True,32,32,7474193,transkribus
0.09403254972875226,0.42704626334519574,0.5639097744360902,False,33,34,7474186,transkribus
