cer,wer,bwer,line_count_match,gt_line_count,transcription_line_count,pred_line_count,transkribus_line_count,segmentation_accuracy,bow_error_rate,document_id,method
0.1476034858387799,0.4716981132075472,0.4591194968553459,True,34,34,34,34.0,1.0,0.6186252771618626,7474188,gemini
0.1225806451612903,0.4028268551236749,0.3886925795053003,True,31,31,31,31.0,1.0,0.5552699228791773,7474189,gemini
0.1044247787610619,0.3896551724137931,0.3758620689655172,True,31,31,31,31.0,1.0,0.5310880829015544,7474194,gemini
0.1441291040623261,0.4523076923076923,0.4430769230769231,True,33,33,33,33.0,1.0,0.5986696230598669,7474190,gemini
0.099236641221374,0.45,0.45,False,4,4,10,10.0,0.4,0.65625,7474184,gemini
0.108695652173913,0.3968253968253968,0.3849206349206349,False,28,28,29,29.0,0.9655172413793104,0.5494186046511628,7474185,gemini
0.1335120643431635,0.4615384615384615,0.4497041420118343,True,33,33,33,33.0,1.0,0.6008583690987124,7474191,gemini
0.1291553133514986,0.4763406940063091,0.4574132492113564,True,33,33,33,33.0,1.0,0.6099773242630385,7474187,gemini
0.1284916201117318,0.4276729559748428,0.4150943396226415,True,32,32,32,32.0,1.0,0.573394495412844,7474193,gemini
0.162748643761302,0.4804270462633452,0.4804270462633452,False,33,33,34,34.0,0.9705882352941176,0.6313131313131313,7474186,gemini
0.1519607843137254,0.4622641509433962,0.449685534591195,True,34,34,34,34.0,1.0,0.609375,7474188,gemini
0.1266862170087976,0.4134275618374558,0.392226148409894,True,31,31,31,31.0,1.0,0.5612244897959184,7474189,gemini
0.103244837758112,0.3793103448275862,0.3655172413793103,True,31,31,31,31.0,1.0,0.5208333333333333,7474194,gemini
0.1346688925987757,0.44,0.4338461538461538,True,33,33,33,33.0,1.0,0.5892857142857143,7474190,gemini
0.1374045801526717,0.65,0.65,False,4,4,10,10.0,0.4,0.8108108108108107,7474184,gemini
0.108016304347826,0.4047619047619047,0.3968253968253968,False,28,28,29,29.0,0.9655172413793104,0.5568513119533527,7474185,gemini
0.1404825737265415,0.4881656804733728,0.4733727810650887,True,33,33,33,33.0,1.0,0.6228813559322034,7474191,gemini
0.1384196185286103,0.4794952681388013,0.4668769716088328,True,33,33,33,33.0,1.0,0.6167800453514739,7474187,gemini
0.1262569832402234,0.4276729559748428,0.4245283018867924,True,32,32,32,32.0,1.0,0.5821917808219178,7474193,gemini
0.1681735985533453,0.4804270462633452,0.4733096085409252,False,33,33,34,34.0,0.9705882352941176,0.6234096692111959,7474186,gemini
0.1525054466230936,0.4685534591194968,0.4559748427672956,True,34,34,34,34.0,1.0,0.6146993318485523,7474188,gemini
0.1237536656891495,0.4063604240282685,0.3851590106007067,True,31,31,31,31.0,1.0,0.5549872122762148,7474189,gemini
0.1061946902654867,0.3931034482758621,0.3758620689655172,True,31,31,31,31.0,1.0,0.5310880829015544,7474194,gemini
0.135781858653311,0.4430769230769231,0.4369230769230769,True,33,33,33,33.0,1.0,0.5915178571428572,7474190,gemini
0.1297709923664122,0.6,0.6,False,4,4,10,10.0,0.4,0.7777777777777778,7474184,gemini
0.1066576086956521,0.4047619047619047,0.3928571428571428,False,28,28,29,29.0,0.9655172413793104,0.5539358600583091,7474185,gemini
0.1490616621983914,0.4911242603550296,0.4763313609467455,True,33,33,33,33.0,1.0,0.6242038216560509,7474191,gemini
0.1356948228882833,0.4858044164037854,0.4700315457413249,True,33,33,33,33.0,1.0,0.6224719101123595,7474187,gemini
0.1256983240223463,0.4245283018867924,0.4213836477987421,True,32,32,32,32.0,1.0,0.5789473684210527,7474193,gemini
0.1699819168173598,0.4875444839857651,0.4768683274021352,False,33,33,34,34.0,0.9705882352941176,0.6269035532994924,7474186,gemini
0.1514161220043573,0.4622641509433962,0.449685534591195,True,34,34,34,34.0,1.0,0.609375,7474188,gemini
0.1231671554252199,0.4028268551236749,0.381625441696113,True,31,31,31,31.0,1.0,0.5512820512820513,7474189,gemini
0.1067846607669616,0.3896551724137931,0.3724137931034483,True,31,31,31,31.0,1.0,0.5272727272727273,7474194,gemini
0.134112409571508,0.4369230769230769,0.4307692307692308,True,33,33,33,33.0,1.0,0.5870535714285714,7474190,gemini
0.1297709923664122,0.6,0.6,False,4,4,10,10.0,0.4,0.7777777777777778,7474184,gemini
0.1073369565217391,0.4047619047619047,0.3928571428571428,False,28,28,29,29.0,0.9655172413793104,0.5539358600583091,7474185,gemini
0.1479892761394101,0.4911242603550296,0.4763313609467455,True,33,33,33,33.0,1.0,0.6242038216560509,7474191,gemini
0.132425068119891,0.4763406940063091,0.4605678233438486,True,33,33,33,33.0,1.0,0.6122448979591837,7474187,gemini
0.1268156424581005,0.4245283018867924,0.4150943396226415,True,32,32,32,32.0,1.0,0.573394495412844,7474193,gemini
0.1729957805907173,0.491103202846975,0.4839857651245551,False,33,33,34,34.0,0.9705882352941176,0.6347607052896725,7474186,gemini
1.0,1.0,1.0,True,34,34,34,34.0,1.0,1.0,7474188,gemini
1.0,1.0,1.0,True,31,31,31,31.0,1.0,1.0,7474189,gemini
0.1492374727668845,0.4591194968553459,0.4465408805031446,True,34,34,34,34.0,1.0,0.6071428571428572,7474188,gemini
0.1219941348973607,0.4098939929328622,0.3992932862190813,True,31,31,31,31.0,1.0,0.5674300254452926,7474189,gemini
0.1156342182890855,0.4034482758620689,0.3827586206896551,True,31,31,31,31.0,1.0,0.5398457583547558,7474194,gemini
0.1413466889259877,0.4338461538461538,0.4307692307692308,True,33,33,33,33.0,1.0,0.5898004434589801,7474190,gemini
