cer,wer,bwer,line_count_match,gt_line_count,transcription_line_count,document_id,method
0.0175609756097561,0.074074074074074,0.074074074074074,True,21,21,71106002,mistral
0.0201005025125628,0.0904522613065326,0.0904522613065326,True,22,22,71108002,mistral
0.0423076923076923,0.1223021582733813,0.1223021582733813,True,15,15,71112003,mistral
0.0628875110717449,0.1384615384615384,0.1435897435897435,True,26,26,71157001,mistral
0.3251533742331288,0.3596059113300492,0.3448275862068966,True,27,27,71002003,mistral
0.2798507462686567,0.3333333333333333,0.3222222222222222,True,12,12,71133003,mistral
0.037593984962406,0.1739130434782608,0.1739130434782608,True,4,4,71042002,mistral
0.6912442396313364,0.8333333333333334,0.8055555555555556,True,7,7,71054002,mistral
0.2399577167019027,0.4011299435028249,0.2937853107344633,True,28,28,71003003,mistral
0.069458631256384,0.1228070175438596,0.1169590643274853,True,21,21,71111002,mistral
0.0195121951219512,0.0634920634920634,0.0634920634920634,True,21,21,71106002,mistral
0.0134003350083752,0.0603015075376884,0.0603015075376884,True,22,22,71108002,mistral
0.0448717948717948,0.1151079136690647,0.1151079136690647,True,15,15,71112003,mistral
0.0602302922940655,0.1435897435897435,0.1435897435897435,True,26,26,71157001,mistral
0.0306748466257668,0.1083743842364532,0.1034482758620689,True,27,27,71002003,mistral
0.0335820895522388,0.0777777777777777,0.0666666666666666,True,12,12,71133003,mistral
0.0075187969924812,0.0434782608695652,0.0434782608695652,True,4,4,71042002,mistral
0.0184331797235023,0.0833333333333333,0.0833333333333333,True,7,7,71054002,mistral
0.1427061310782241,0.2711864406779661,0.231638418079096,True,28,28,71003003,mistral
0.018386108273748723,0.08187134502923976,0.08187134502923976,True,21,21,071111002,mistral
