cer,wer,bwer,line_count_match,gt_line_count,transcription_line_count,pred_line_count,segmentation_accuracy,bow_error_rate,document_id,method
0.01160541586073501,0.04712041884816754,0.04712041884816754,False,23,23,21,0.9130434782608695,0.08080808080808077,071106002,gemini
0.014154870940882597,0.05970149253731343,0.05970149253731343,False,24,24,22,0.9166666666666666,0.10426540284360186,071108002,gemini
0.027603513174404015,0.11188811188811189,0.11188811188811189,False,16,16,15,0.9375,0.1858974358974359,071112003,gemini
0.04906333630686887,0.14213197969543148,0.1319796954314721,False,23,23,26,0.8846153846153846,0.21198156682027647,071157001,gemini
0.056082830025884385,0.17307692307692307,0.14423076923076922,True,27,27,27,1.0,0.24255319148936172,071002003,gemini
0.051470588235294115,0.12087912087912088,0.10989010989010989,False,14,14,12,0.8571428571428571,0.18999999999999995,071133003,gemini
0.043478260869565216,0.16,0.16,False,6,6,4,0.6666666666666666,0.2222222222222222,071042002,gemini
0.027777777777777776,0.1388888888888889,0.1388888888888889,True,7,7,7,1.0,0.22499999999999998,071054002,gemini
0.11538461538461539,0.22580645161290322,0.16666666666666666,False,32,32,28,0.875,0.28240740740740744,071003003,gemini
0.10931174089068826,0.16666666666666666,0.15517241379310345,False,23,23,21,0.9130434782608695,0.20540540540540542,071111002,gemini
