cer,wer,bwer,line_count_match,gt_line_count,transcription_line_count,document_id,method
0.08061002178649238,0.36477987421383645,0.3553459119496855,True,34,34,7474188,openai
0.06041055718475073,0.30742049469964666,0.30742049469964666,True,31,31,7474189,openai
0.07138643067846608,0.3793103448275862,0.3689655172413793,True,31,31,7474194,openai
0.07957707289927657,0.3630769230769231,0.3569230769230769,True,33,33,7474190,openai
0.07633587786259542,0.6,0.6,True,4,4,7474184,openai
0.07744565217391304,0.35714285714285715,0.3492063492063492,False,28,29,7474185,openai
0.09061662198391421,0.3905325443786982,0.3816568047337278,True,33,33,7474191,openai
0.07465940054495913,0.3501577287066246,0.3438485804416404,True,33,33,7474187,openai
0.0888268156424581,0.4056603773584906,0.39622641509433965,True,32,32,7474193,openai
0.09403254972875226,0.4234875444839858,0.4199288256227758,True,33,33,7474186,openai
