cer,wer,bwer,line_count_match,gt_line_count,transcription_line_count,document_id,method
0.0117073170731707,0.0423280423280423,0.0423280423280423,True,21,21,71106002,openai
0.0142378559463986,0.0603015075376884,0.0603015075376884,True,22,22,71108002,openai
0.0294871794871794,0.0647482014388489,0.0647482014388489,True,15,15,71112003,openai
0.024800708591674,0.082051282051282,0.082051282051282,True,26,26,71157001,openai
0.0192813321647677,0.0591133004926108,0.0591133004926108,True,27,27,71002003,openai
0.0335820895522388,0.0777777777777777,0.0666666666666666,True,12,12,71133003,openai
0.0075187969924812,0.0434782608695652,0.0434782608695652,True,4,4,71042002,openai
0.0184331797235023,0.0833333333333333,0.0833333333333333,True,7,7,71054002,openai
0.0433403805496828,0.1977401129943503,0.1751412429378531,True,28,28,71003003,openai
0.01634320735444331,0.07017543859649122,0.07017543859649122,True,21,21,071111002,openai
