cer,wer,bwer,line_count_match,gt_line_count,transcription_line_count,document_id,method
0.1552287581699346,0.5094339622641509,0.4968553459119497,False,34,35,7474188,mistral
0.1618768328445747,0.5053003533568905,0.4911660777385159,True,31,31,7474189,mistral
0.1752212389380531,0.5172413793103449,0.503448275862069,True,31,31,7474194,mistral
0.1179744017807456,0.3815384615384615,0.3753846153846153,True,33,33,7474190,mistral
0.1068702290076335,0.35,0.35,True,4,4,7474184,mistral
0.1535326086956521,0.4523809523809524,0.4404761904761904,False,28,29,7474185,mistral
0.149597855227882,0.4142011834319526,0.3905325443786982,True,33,33,7474191,mistral
0.126975476839237,0.4321766561514195,0.4258675078864353,True,33,33,7474187,mistral
0.1743016759776536,0.5251572327044025,0.5157232704402516,True,32,32,7474193,mistral
0.1410488245931284,0.4412811387900356,0.4306049822064057,True,33,33,7474186,mistral
