cer,wer,bwer,line_count_match,gt_line_count,transcription_line_count,pred_line_count,transkribus_line_count,segmentation_accuracy,bow_error_rate,document_id,method
0.1094771241830065,0.4433962264150943,0.4276729559748428,True,34,34,34,34.0,1.0,0.5946547884187082,7474188,mistral
0.1618768328445747,0.4840989399293286,0.4664310954063604,True,31,31,31,31.0,1.0,0.6048192771084338,7474189,mistral
0.1970501474926253,0.5172413793103449,0.4551724137931034,True,31,31,31,31.0,1.0,0.6247030878859858,7474194,mistral
0.3311074012242627,0.6123076923076923,0.5938461538461538,True,33,33,33,33.0,1.0,0.691588785046729,7474190,mistral
0.2824427480916031,0.55,0.55,False,4,4,10,10.0,0.4,0.7380952380952381,7474184,mistral
0.2398097826086956,0.5476190476190477,0.5158730158730159,False,28,28,29,29.0,0.9655172413793104,0.6057441253263707,7474185,mistral
0.1281501340482573,0.5,0.4763313609467455,True,33,33,33,33.0,1.0,0.6409736308316429,7474191,mistral
0.2256130790190735,0.5394321766561514,0.5078864353312302,True,33,33,33,33.0,1.0,0.606694560669456,7474187,mistral
0.1351955307262569,0.4937106918238994,0.4654088050314465,True,32,32,32,32.0,1.0,0.6223175965665235,7474193,mistral
0.1663652802893309,0.5266903914590747,0.4839857651245551,False,33,33,34,34.0,0.9705882352941176,0.6522781774580335,7474186,mistral
0.1116557734204793,0.440251572327044,0.4245283018867924,True,34,34,34,34.0,1.0,0.5896860986547086,7474188,mistral
0.1607038123167155,0.4734982332155477,0.4452296819787986,True,31,31,31,31.0,1.0,0.5965770171149144,7474189,mistral
0.1846607669616519,0.5241379310344828,0.4655172413793103,True,31,31,31,31.0,1.0,0.6335697399527187,7474194,mistral
0.115748469671675,0.48,0.4676923076923077,True,33,33,33,33.0,1.0,0.6287553648068669,7474190,mistral
0.2748091603053435,0.6,0.6,False,4,4,10,10.0,0.4,0.775,7474184,mistral
0.3675271739130434,0.7896825396825397,0.7420634920634921,False,28,28,29,29.0,0.9655172413793104,0.6545454545454545,7474185,mistral
0.1372654155495978,0.5236686390532544,0.4852071005917159,True,33,33,33,33.0,1.0,0.652694610778443,7474191,mistral
0.1100817438692098,0.4290220820189274,0.4132492113564668,True,33,33,33,33.0,1.0,0.5820224719101124,7474187,mistral
0.1374301675977653,0.4937106918238994,0.4622641509433962,True,32,32,32,32.0,1.0,0.6215053763440861,7474193,mistral
0.1699819168173598,0.5373665480427047,0.4768683274021352,False,33,33,34,34.0,0.9705882352941176,0.6370192307692308,7474186,mistral
0.1116557734204793,0.440251572327044,0.4245283018867924,True,34,34,34,34.0,1.0,0.5896860986547086,7474188,mistral
