cer,wer,bwer,line_count_match,gt_line_count,transcription_line_count,document_id,method
0.086073500967118,0.09424083769633508,0.09424083769633508,False,23,25,071106002,mistral
0.022481265611990008,0.07462686567164178,0.07462686567164178,False,24,23,071108002,mistral
0.04140526976160602,0.13286713286713286,0.11888111888111888,True,16,16,071112003,mistral
0.4272970561998216,0.5431472081218274,0.13705583756345177,False,23,21,071157001,mistral
0.26833477135461603,0.3269230769230769,0.27884615384615385,False,27,32,071002003,mistral
0.2647058823529412,0.3516483516483517,0.13186813186813187,False,14,12,071133003,mistral
0.12318840579710146,0.16,0.12,False,6,7,071042002,mistral
0.0787037037037037,0.19444444444444445,0.19444444444444445,False,7,6,071054002,mistral
0.5561330561330561,0.7204301075268817,0.34408602150537637,False,32,36,071003003,mistral
0.3481781376518219,0.3793103448275862,0.3793103448275862,False,23,31,071111002,mistral
